date,symbol,series_kind,open,high,low,close,adj_close,volume,trading_date
2016-12-16,TOPIX,TOPIX_INDEX_JPX,1553.46,1555.04,1546.74,1550.67,1550.67,,2016-12-16
2016-12-19,TOPIX,TOPIX_INDEX_JPX,1546.09,1549.68,1542.58,1549.06,1549.06,,2016-12-19
2016-12-20,TOPIX,TOPIX_INDEX_JPX,1546.47,1553.26,1544.24,1552.36,1552.36,,2016-12-20
2016-12-21,TOPIX,TOPIX_INDEX_JPX,1555.31,1558.75,1541.6,1544.94,1544.94,,2016-12-21
2016-12-22,TOPIX,TOPIX_INDEX_JPX,1542.31,1543.82,1535.82,1543.82,1543.82,,2016-12-22
2016-12-26,TOPIX,TOPIX_INDEX_JPX,1540.98,1541.96,1537.76,1538.14,1538.14,,2016-12-26
2016-12-27,TOPIX,TOPIX_INDEX_JPX,1534.37,1544.83,1534.04,1536.22,1536.22,,2016-12-27
2016-12-28,TOPIX,TOPIX_INDEX_JPX,1536.47,1540.51,1533.29,1536.8,1536.8,,2016-12-28
2016-12-29,TOPIX,TOPIX_INDEX_JPX,1529.33,1529.33,1513.25,1518.39,1518.39,,2016-12-29
2016-12-30,TOPIX,TOPIX_INDEX_JPX,1509.56,1521.79,1508.01,1518.61,1518.61,,2016-12-30
2017-01-04,TOPIX,TOPIX_INDEX_JPX,1533.04,1554.79,1532.56,1554.48,1554.48,,2017-01-04
2017-01-05,TOPIX,TOPIX_INDEX_JPX,1558.06,1558.45,1550.64,1555.68,1555.68,,2017-01-05
2017-01-06,TOPIX,TOPIX_INDEX_JPX,1541.66,1554.78,1541.36,1553.32,1553.32,,2017-01-06
